Location_Name,Address,Zip,City,Latitude,Longitude,Geometry,URL,Category,Description,Type,Service,Target_Group
0x90.space,Wandererstr. 89c,90431,Nürnberg,49.4560175000000,11.030800500000,Point,https://0x90.space/,HackerSpace,"0x90.space ist eine kleine Hackgruppe in Nürnberg, die sich regelmäßig trifft, um an gemeinschaftlichen Projekten zu arbeiten oder einfach nur Zeit miteinander zu verbringen. Sie veranstalten Workshops und bieten Gelegenheiten zum Austausch mit Menschen aus Hackspaces und Künstler*innen. Die Gruppe betont, dass sie sich dem ""Nichtstun"" widmet, was jedoch oft in kreativen und technischen Aktivitäten resultiert.",Hackgruppe,"Regelmäßige Treffen, Workshops, Projekte, Community-Austausch","Programmierer, Nerds, Hacker, Geeks, Interessierte an Technologie"
"ADA Lovelace Center for Analytics, Data, Applications",Nordostpark 84,90411,Nürnberg,49.4859376654502,11.128467534720,Point,https://www.iis.fraunhofer.de/de/profil/zukunftsinitiativen/adacenter.html,Technologietransferzentrum,"Das ADA Lovelace Center, angesiedelt am Fraunhofer IIS, ist auf Forschung und Entwicklung in den Bereichen Analytics, Data und Applications spezialisiert. Es dient als Schnittstelle zwischen Wissenschaft und Industrie, um die Beherrschung von Daten und deren Analyse voranzutreiben. Das Center kooperiert eng mit Universitäten und der mittelständischen Wirtschaft.","Forschungs- und Entwicklungszentrum, angewandte Forschungs- und Entwicklung","Forschung und Entwicklung in den Bereichen Analytics, Data, Applications, Kooperationen mit Wissenschaft und Industrie","Industriepartner, Forschungseinrichtungen, Unternehmen, Wissenschaftscommunity"
ATHEM,Bucher Str. 79a,90419,Nürnberg,49.4639412000000,11.069480700000,Point,https://athem.space/,Coworking Space,"ATHem Space bietet einen vielseitigen Raum für Kreativität, Innovation und persönliches Wachstum. Mit seinem Open Creativity Space, der Transformation Academy und der Elevate The Future Community bietet es eine Plattform für kreative Gedanken, ganzheitliche Entwicklung und technologische Fortschritte. Es organisiert regelmäßige Events, Workshops und bietet Räume für Coworking und Seminare an.",Innovations- und Kreativzentrum,"Open Creativity Space, Transformation Academy, Elevate The Future Community, Angebote für kreative Köpfe und ganzheitliches Wachstum, Coworking-Bereich, Seminar- und Trainingsräume, Events und Workshops","Kreative, Teams, Organisationen, Interessierte an Technologie, Unternehmen"
Automation Valley Nordbayern,Hauptmarkt 25-27,90403,Nürnberg,49.4541702270507,11.077364921570,Point,https://automation-valley.de/,Cluster & Innovationsagentur,"Automation Valley Nordbayern ist eine regionale Initiative, die sich auf die Industrie 4.0 konzentriert. Sie vernetzt etwa 300 Firmen und wissenschaftliche Einrichtungen in Nordbayern, die in diesem Sektor tätig sind. Das Netzwerk bietet eine Plattform für die Förderung von Projekten, den Austausch von Informationen und die Organisation von Veranstaltungen in der Region.","Produktionstechnik, Cluster","Vernetzung von Unternehmen und wissenschaftlichen Einrichtungen, Förderung von Industrie 4.0-Projekten, Informationen zu aktuellen Entwicklungen und Veranstaltungen","Unternehmen, Hochschulen, Institutionen, Forschungseinrichtungen, Branchenakteure"
Backspace e.V.,Spiegelgraben 41,96052,Bamberg,49.9018897000000,10.892628700000,Point,https://www.hackerspace-bamberg.de/Hauptseite,"HackerSpace, MakerSpace","Der Backspace ist der Bamberger Hackerspace, ein Ort, an dem sich Menschen zum Austausch über Technik, digitale Kunst und freies Wissen treffen. Der Hackerspace bietet eine Lounge, ein Hardwarelabor und einen Bastel- und Aktionsraum, schnelles Internet und verschiedene Werkzeuge und Geräte. Er veranstaltet regelmäßig Vorträge und Workshops zu technischen Themen und deren Auswirkungen auf Gesellschaft und Politik. Der Backspace steht jedem Interessierten offen und fördert den kreativen Umgang mit Technik in einem gemeinschaftlichen Umfeld.",Kreativer Freiraum für technische Projekte,"Regelmäßige Treffen, Vorträge, Workshops, Bereitstellung von Räumlichkeiten und Infrastruktur für technische und kreative Projekte","Interessierte an Technologie, Hacker, Künstler, Kreative"
Bayern Innovativ - Innovation leben,Am Tullnaupark 8,90402,Nürnberg,49.4501261000000,11.102193300000,Point,https://www.bayern-innovativ.de/de/startseite,Cluster & Innovationsagentur,"Bayern Innovativ stellt als Cluster und Innovationsagentur dar, die sich auf die Förderung von Innovationen und den Technologietransfer in Bayern spezialisiert hat. Sie dient als Plattform für die Vernetzung verschiedener Akteure und bietet umfangreiche Dienstleistungen zur Unterstützung von Innovationsprozessen.","Innovations- und Förderagentur, Cluster","Netzwerke & Thinknet Bayern, Technologie- & Wissenstransfer, Fördermittelberatung & Projektträgerschaft, Vermarktung & Kommunikation, Innovationsdienstleistungen","Unternehmen, Start-ups, Hochschulen, Institutionen, Forschungseinrichtungen, Branchenakteure"
Bleiweiss Design Labor,Allersberger Str. 101,90461,Nürnberg,49.4388791000000,11.090532800000,Point,bleiweiss-design-labor.de,Coworking Space,"Das Bleiweiß Design Labor in der Südstadt Nürnbergs bietet vielseitige Nutzungsmöglichkeiten, darunter als Coworking Space, Seminar- und Workshopraum oder als Ort für Ausstellungen und Pop-up-Stores. Es zeichnet sich durch moderne Möbel und ein kreatives Umfeld aus, das für eine angenehme Arbeitsatmosphäre sorgt.","Raum für Seminare, Workshops, Ausstellungen, Pop-up-Stores","Vermietung von Arbeitstischen, Raum für Seminare und Workshops, Ausstattung für kreatives Arbeitsumfeld","Kreative, Teams, Organisationen, Interessierte an Technologie, Unternehmen"
Brucklyn Coworking,Stoke-on-Trent-Straße 1,91058,Erlangen,49.5687645000000,10.992478600000,Point,https://www.brucklyn-hall.de/,Coworking Space,"Brucklyn Coworking bietet eine breite Palette von Arbeitsplatzlösungen in Fürth, die von flexiblen Coworking-Arbeitsplätzen bis hin zu privaten Büros und virtuellen Firmensitzen reichen. Es ist auch eine Eventlocation für Workshops, Seminare und Betriebsversammlungen. Brucklyn bietet zudem eine Vielzahl von Dienstleistungen wie technischen Support, Catering und Eventplanung, um den Arbeitsalltag und besondere Anlässe zu unterstützen.","Arbeitsplatz, Meeting- und Eventraum","Flexibles Coworking, Highspeed Internet, Eventspace, Front Desk, Technischer Support, Arbeitsplatzreinigung, Catering, Gästeservice, Eventplanung, Plug & Work Desk, Own Desk, Private Office, Virtual Office & Firmensitz, Event und Tagungen, Konferenz- und Tagungsräume, Workshop Rooms","Freiberufler, Selbständige,Programmierer, Teams, Unternehmen"
Business Offices. Arbeiten mit Lebensqualität.,Moststraße 33,90762,Fürth,49.4730434500000,10.992442751705,Point,https://business-offices.de/,Coworking Space,Business Offices bietet Unternehmer:innen moderne und lichtdurchflutete Büroräume mit Fullservice und höchstem Hygiene-Standard in der Stadt Fürth. Die Räumlichkeiten sind flexibel buchbar und bieten eine ruhige Atmosphäre für fokussiertes Arbeiten sowie einen professionellen Service.,Arbeitskonzepte für Unternehmer:innen,"Hochwertige Büroräume, Konferenz- und Teamräume, 24/7 Flexibilität, High-Speed-Internet, Fullservice, höchster Hygiene-Standard",Unternehmen
Coworking büro,Flußstraße 17,90491,Nürnberg,49.4635286000000,11.125916300000,Point,https://matteobalestri.com/coworking-office/,Coworking Space,"Das Coworking Office von Matteo Balestri bietet flexible Arbeitsplatzlösungen in Nürnberg. Mit Optionen, die von WLAN und Druckerzugang bis hin zu Kaffee und Tee reichen, ist es eine ideale Wahl für diejenigen, die einen professionellen Arbeitsraum für kurze Zeit benötigen. Das Büro ist täglich buchbar und bietet eine ruhige und produktive Atmosphäre.",Coworking Space,"WLAN, Drucker, Kaffee und Tee, Verfügbarkeit von Büroräumen auf Tagesbasis","Freiberufler, Selbständige, Programmierer, Teams, Unternehmen"
